Condition,Labeling Protocol,Labeling Target,NumFoci
3D FISH Chromosome 3,3D FISH,Chromosome 3,3
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,2
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,2
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,2
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,3
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,2
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,0
3D FISH Chromosome 3,3D FISH,Chromosome 3,1
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,1
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
Fixed Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,2
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,3
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,2
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,2
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
